Restuarant,review,label
LYLGCIqNQQrpMwOxJ1hlrg,I usually get the Arizona Smashchicken or the Arizona Cobb Salad.  Both are always delicious!  Sometimes they are really spicy and other times not so much.  I guess it depends on who is making it and how many jalapenos get in there.   The chicken is really flavorful; unlike a lot of other chicken sandwiches/salads where the chicken is bland and adds nothing to the meal.  I think I am the only person I know that isn't a fan of the Smashfries.  They are generally tasty; but I would far prefer regular fries.  I really like this place; but its a little pricey for what you get.  Lunch for two will probably set you back a least $20... its not too bad; but your $20 will go a lot further other places.,0
LYLGCIqNQQrpMwOxJ1hlrg,Great place to grab a bite to eat when on ASU campus. I usually just order a kids meal because for the price you pay you get normal size hot dog; side of fries and small soda... which is more than enough to fill me up!   The staff at this specific location are really nice too!,1
LYLGCIqNQQrpMwOxJ1hlrg,"could have been a 2 star rating because of the cleanliness; but realized that another chain burger joint charging $10 for an average burger didn't deserve it; especially when the burger is served with a side of sarcasm. not to mention that they are not community friendly at all. I asked to drop some flyers for the Grand Avenue Festival and they said no; not that they needed to say yes; but when I asked the manager to talk with the franchise managers about being a little more community involved and supportive; the manager barked very rudely \none of the businesses around here do that\""; which was a lie because just next door on college- Port Of Subs and the Cupz Coffee both allow people to leave flyers for their customers; so did the Hawaiian place and almost every other business around. I had to give this a 1 star because Arizona doesn't need another over priced; community sucker; who is not interested in creating a community; but just bleeding the money and running. he was so unfriendly and sarcastic that I didn't even want to place my order after that. i'll stick with Maizie's burgers anyday! I also heard the Grind on Camelback Rd  next to the Fenix eatery at about 40th street was the shiznitz! They said its hands down the best in town....on my way soon.""",0
LYLGCIqNQQrpMwOxJ1hlrg,This place is right down the street from my office; convenient right? Well maybe if there weren't other burger choices. Have tried the burgers and onion strings; both of which are overly salty; and the onions extremely soggy with grease.   The layout of the place is also really awkward. You come in and order and them wait for your food....except the is no where to wait? You kind of stand between their expediter; others waiting and right next to diners. They need a much better system. Prices also seem a little high...$10+ for a burger; fries & drink.,0
LYLGCIqNQQrpMwOxJ1hlrg,"Smashburger isn't bad. It's definitely quality for a fast food chain. But much like 5 Guys; Fatburger; and any of the other nondrive-thru burger joints; Smashburger just doesn't justify it's higher price tag (although this one isn't excessively expensive).   I had the 1/3 pound classic Smashburger and sweet potato smashfries. The burger patty itself was pretty good; not greasy at all. The egg bun is awesome. The special sauce is lame. I'm very sadden to say that Smashburger is the only place that's ever served me bad sweet potato fries. The portion is pretty small; the fries didn't stay warm for very long; and putting rosemary (an herb I generally enjoy) on them was awful.   The place is clean and the employees are very friendly. I think Smashburger puts a little too much effort into trying to look like its something better than it really is. I agree with the reviewer who said \good food costs.\"" However; I paid a little more than $7.00 for a burger and fries. Not bad; but there's so many options in the ASU/Mill Avenue area (where for just a few more dollars I can have better food); that I think I'm going to have to pass on Smashburger next time.""",0
LYLGCIqNQQrpMwOxJ1hlrg,"Smashburger isn't bad. It's definitely quality for a fast food chain. But much like 5 Guys; Fatburger; and any of the other nondrive-thru burger joints; Smashburger just doesn't justify it's higher price tag (although this one isn't excessively expensive).   I had the 1/3 pound classic Smashburger and sweet potato smashfries. The burger patty itself was pretty good; not greasy at all. The egg bun is awesome. The special sauce is lame. I'm very sadden to say that Smashburger is the only place that's ever served me bad sweet potato fries. The portion is pretty small; the fries didn't stay warm for very long; and putting rosemary (an herb I generally enjoy) on them was awful.   The place is clean and the employees are very friendly. I think Smashburger puts a little too much effort into trying to look like its something better than it really is. I agree with the reviewer who said \good food costs.\"" However; I paid a little more than $7.00 for a burger and fries. Not bad; but there's so many options in the ASU/Mill Avenue area (where for just a few more dollars I can have better food); that I think I'm going to have to pass on Smashburger next time.""",0
LYLGCIqNQQrpMwOxJ1hlrg,"Smashburger isn't bad. It's definitely quality for a fast food chain. But much like 5 Guys; Fatburger; and any of the other nondrive-thru burger joints; Smashburger just doesn't justify it's higher price tag (although this one isn't excessively expensive).   I had the 1/3 pound classic Smashburger and sweet potato smashfries. The burger patty itself was pretty good; not greasy at all. The egg bun is awesome. The special sauce is lame. I'm very sadden to say that Smashburger is the only place that's ever served me bad sweet potato fries. The portion is pretty small; the fries didn't stay warm for very long; and putting rosemary (an herb I generally enjoy) on them was awful.   The place is clean and the employees are very friendly. I think Smashburger puts a little too much effort into trying to look like its something better than it really is. I agree with the reviewer who said \good food costs.\"" However; I paid a little more than $7.00 for a burger and fries. Not bad; but there's so many options in the ASU/Mill Avenue area (where for just a few more dollars I can have better food); that I think I'm going to have to pass on Smashburger next time.""",0
LYLGCIqNQQrpMwOxJ1hlrg,"Last night I was invited to Smashburger as a VIP (YAY) and was able to partake in some of their menu items for free. Now me pass up a free meal; hmm NEVER!   So I mosey on to Tempe after sitting in traffic for about an hour (boooo) but was able to snag a great parking space and made my way into Smashburger. My first impression was that it was cute little place and yes it is a bit small but cute for a burger place. I met up with Christina; who by the way was fabulous. (Thank you Christina for inviting me) and she gave me a menu; told me about the place and let me know that anything I wanted was on the house. Gotta love that right? The first thing I asked her was \ where is the ladies room?'\"" In which she informed me that it was actually outside; around the corner as that is how the restaurants are set up on College Ave. If you could have seen the look on my face. WOW! So after getting what has to be the biggest bathroom key ring I have EVER seen; I made my way around the corner to the ladies room. Although it was well lit; it still creeped me out that I had to go around the corner and kinda towards the back. Although it was very clean; still not really comfortable with that but again I guess that is how it is on College Ave. 1 star   Any-who; I proceeded to order the following food to try out and here they are:   Chocolate Milkshake - OMG! I don't even like Haagen -Daz ice cream (that is what the shakes are made with) and let me tell you that this was the BEST chocolate milkshake I have had in a very long time. Think; rich; and oh so good. 5 stars   Smashfries- they are made with rosemary; olive oil; garlic and other herbs. I was a little bummed as depending on which fry I picked up it was either cold; warm; or hot. Not consistent! 1star   Onion stack - Now I love me some onion rings but I didn't get to try them because when I got them guess what; they were COLD!!! I was so disappointed. How do you get cold onion rings? Double boo!! 0 stars   Arizona Smashburger- I had the 1/2 lb one and it had habanero cheese; guacamole; onions; chipotle mayo and fresh jalapenos on a chipotle bun. (I did not have the lettuce and tomato but it comes with that too) OMG! That was one good burger. Nice and spicy; the bun was way to small for that burger but it was so good. A chipotle bun? Who knew! The seasonings that they put on this burger made it really pop. I was thoroughly happy with it. 5 stars!   I did meet Greg and Kirk; (Regional Vice President and Franchise Owner in that order I believe) and I did express my thoughts on my meal; especially my fries and onion rings. They did offer to bring me out more and apologized profusely; but I declined as I did not want to waste any more food even if it was free as I there was no way I was going to be able to anything else after that burger and milkshake. 5 stars   Oh and the best part of the night; I got to meet fellow yelper Alexander C. and his friend Erin and I was able to go in the back and smash my own burger! That was very cool! 5 stars   So all in all; a few quirks regarding hot fries and onions rings; but the burgers were really good. Its a little pricey as well so be warned. They are opening up a couple more in the next few months. One on 99th Ave and McDowell; and one on 20th St and Camelback so be on the lookout. These locations will have wine and beer added as well.""",0
LYLGCIqNQQrpMwOxJ1hlrg,The list of fast food burger grows; and unfortunately; Smashburger is near the bottom.  If for some reason you get sick of Five Guys; In-n-out; Four peaks; and Lobby's; then give this place a try (although to be honest; Lobby's and this place are kind of tied).  I got an Arizona burger. It was good; no doubt about it. But just a bit pricey. A 1/2 lb burger + fries comes out to $10. For $10 I'd rather go to Four Peaks; or Five Guys (get 2 burgers) or In-n-Out (2 burgers + fries). Of course; you get more meat at Smashburger; but honestly 1 double double at In-n-Out or Five Guys and some fries split between two is enough for a meal. This place tastes really good; but it loses on value.  In fact; I had a B1G1 coupon; so I brought my lady along and she got a salad. There is no doubt she enjoyed the salad. However; neither of us thought it was a good value even at B1G1 (Remember when Chipotle had B1G1? That was a damn good value).  Unfortunately; if you're in the Tempe area you should go a little further to try to get a table at Four peaks. Better value and better food there. If you can't wait; hit up Five Guys on Mill or In-N-Out on 202/Rural.,0
LYLGCIqNQQrpMwOxJ1hlrg,So; how much do you like hamburgers?  Do you like them enough to pay $8 for one?  Do you like them enough to willingly go near ASU?  If you're still nodding your head; chances are good that you'll like Smashburger.    As burger joints go; it's one of the nicer ones--clean; stylish decor; and friendly employees are big pluses here.  You will pay for those pluses though; when you find yourself forking over more than $10 for the prototypical burger; fries; and high fructose corn syrup drink of your choice.    What you'll get for that ten-spot is somewhat distinctive though.  Smashburger's claim to fame; of course; is the way that they seer the burger patty; thus getting it piping hot in a hurry.  What this means for you is that you'll be the proud owner of one of the messier burgers in America.  Grab plenty of napkins and plan to wear a shirt you don't mind getting greasy.    I suppose the fries are a love em'/hate 'em affair.  If you're a traditionalist; prepare to be annoyed:  Smashfries are doused in oil and herbs.  They make a nice taste; but get old pretty quickly and I've never been able to finish an order.  Though hardly cheap or perfect; I like Smashburger on occasion as it's a nice change from the usual fast food fare.,0
